Sample,Pointwise_Valid,Conditional_Valid,Combined_Valid
Sample_0,True,False,False
Sample_1,True,False,False
Sample_2,True,True,True
Sample_3,True,False,False
Sample_4,True,False,False
Sample_5,False,True,False
Sample_6,False,True,False
Sample_7,True,True,True
Sample_8,True,False,False
Sample_9,True,False,False
Sample_10,False,True,False
Sample_11,True,True,True
Sample_12,True,True,True
Sample_13,False,True,False
Sample_14,False,False,False
Sample_15,True,True,True
Sample_16,True,False,False
Sample_17,False,False,False
Sample_18,False,True,False
Sample_19,True,False,False
Sample_20,True,False,False
Sample_21,True,True,True
Sample_22,True,False,False
Sample_23,True,False,False
Sample_24,False,False,False
Sample_25,False,False,False
Sample_26,True,True,True
Sample_27,True,True,True
Sample_28,True,True,True
Sample_29,True,True,True
Sample_30,True,False,False
Sample_31,True,True,True
Sample_32,False,False,False
Sample_33,True,True,True
Sample_34,False,True,False
Sample_35,True,True,True
Sample_36,False,True,False
Sample_37,False,True,False
Sample_38,True,True,True
Sample_39,True,False,False
Sample_40,False,False,False
Sample_41,False,False,False
Sample_42,True,True,True
Sample_43,False,True,False
Sample_44,True,False,False
Sample_45,False,False,False
Sample_46,False,False,False
Sample_47,False,False,False
Sample_48,True,False,False
Sample_49,True,True,True
Sample_50,True,False,False
Sample_51,True,True,True
Sample_52,True,False,False
Sample_53,True,False,False
Sample_54,True,False,False
Sample_55,False,False,False
Sample_56,True,False,False
Sample_57,True,False,False
Sample_58,False,True,False
Sample_59,True,True,True
Sample_60,False,True,False
Sample_61,True,True,True
Sample_62,False,False,False
Sample_63,True,False,False
Sample_64,True,False,False
Sample_65,True,False,False
Sample_66,True,True,True
Sample_67,False,False,False
Sample_68,False,False,False
Sample_69,True,True,True
Sample_70,True,False,False
Sample_71,True,False,False
Sample_72,False,False,False
Sample_73,True,False,False
Sample_74,True,False,False
Sample_75,False,True,False
Sample_76,True,False,False
Sample_77,False,False,False
Sample_78,True,False,False
Sample_79,True,False,False
Sample_80,True,False,False
Sample_81,False,True,False
Sample_82,True,False,False
Sample_83,True,True,True
Sample_84,True,False,False
Sample_85,True,False,False
Sample_86,True,False,False
Sample_87,True,False,False
Sample_88,True,True,True
Sample_89,False,True,False
Sample_90,True,True,True
