,400nm_vs_500nm,400nm_vs_550nm,400nm_vs_600nm,400nm_vs_700nm,500nm_vs_550nm,500nm_vs_600nm,500nm_vs_700nm,550nm_vs_600nm,550nm_vs_700nm,600nm_vs_700nm
Sample_0,False,False,False,False,True,True,True,True,True,True
Sample_1,True,True,True,True,True,False,True,True,True,True
Sample_2,True,True,True,True,True,True,True,True,True,True
Sample_3,False,True,True,True,True,True,False,False,False,False
Sample_4,False,False,False,False,True,True,True,True,True,True
Sample_5,True,True,True,True,True,True,True,True,True,True
Sample_6,True,True,True,True,True,True,True,True,True,True
Sample_7,True,True,True,True,True,True,True,True,True,True
Sample_8,False,False,False,False,False,False,True,True,True,False
Sample_9,False,False,True,True,False,True,True,True,True,True
Sample_10,True,True,True,True,True,True,True,True,True,True
Sample_11,True,True,True,True,True,True,True,True,True,True
Sample_12,True,True,True,True,True,True,True,True,True,True
Sample_13,True,True,True,True,True,True,True,True,True,True
Sample_14,False,False,False,False,False,False,False,False,False,False
Sample_15,True,True,True,True,True,True,True,True,True,True
Sample_16,True,True,True,True,False,True,True,True,True,True
Sample_17,False,False,False,False,False,False,False,False,False,False
Sample_18,True,True,True,True,True,True,True,True,True,True
Sample_19,True,True,True,True,True,True,False,False,False,True
Sample_20,False,False,False,True,False,False,False,True,False,True
Sample_21,True,True,True,True,True,True,True,True,True,True
Sample_22,True,True,True,False,False,True,False,False,False,False
Sample_23,True,True,True,True,False,True,True,False,True,True
Sample_24,False,False,False,False,False,False,False,False,False,False
Sample_25,False,False,False,False,False,True,False,True,True,False
Sample_26,True,True,True,True,True,True,True,True,True,True
Sample_27,True,True,True,True,True,True,True,True,True,True
Sample_28,True,True,True,True,True,True,True,True,True,True
Sample_29,True,True,True,True,True,True,True,True,True,True
Sample_30,True,True,True,True,False,True,True,True,False,False
Sample_31,True,True,True,True,True,True,True,True,True,True
Sample_32,False,False,False,False,True,True,True,False,True,True
Sample_33,True,True,True,True,True,True,True,True,True,True
Sample_34,True,True,True,True,True,True,True,True,True,True
Sample_35,True,True,True,True,True,True,True,True,True,True
Sample_36,True,True,True,True,True,True,True,True,True,True
Sample_37,True,True,True,True,True,True,True,True,True,True
Sample_38,True,True,True,True,True,True,True,True,True,True
Sample_39,False,True,False,False,True,True,True,True,True,True
Sample_40,True,True,True,True,True,False,True,True,True,True
Sample_41,False,False,False,False,False,False,False,False,False,False
Sample_42,True,True,True,True,True,True,True,True,True,True
Sample_43,True,True,True,True,True,True,True,True,True,True
Sample_44,True,False,True,True,False,True,True,True,True,True
Sample_45,False,False,False,False,False,False,False,False,False,False
Sample_46,False,False,False,False,False,False,False,False,False,False
Sample_47,False,False,False,False,False,False,False,False,False,False
Sample_48,False,True,False,True,True,True,True,True,True,True
Sample_49,True,True,True,True,True,True,True,True,True,True
Sample_50,True,True,True,True,False,False,True,True,True,True
Sample_51,True,True,True,True,True,True,True,True,True,True
Sample_52,False,True,False,True,True,False,True,True,True,True
Sample_53,True,True,True,True,True,True,True,False,True,True
Sample_54,True,False,True,True,False,True,True,True,True,True
Sample_55,False,False,False,False,False,False,False,False,False,False
Sample_56,False,True,True,True,False,True,True,False,False,True
Sample_57,True,True,False,True,True,False,True,True,True,True
Sample_58,True,True,True,True,True,True,True,True,True,True
Sample_59,True,True,True,True,True,True,True,True,True,True
Sample_60,True,True,True,True,True,True,True,True,True,True
Sample_61,True,True,True,True,True,True,True,True,True,True
Sample_62,False,False,False,False,False,False,False,False,False,False
Sample_63,True,True,True,True,True,True,True,False,True,True
Sample_64,False,True,True,True,False,True,True,False,False,True
Sample_65,False,True,True,True,True,True,True,True,True,True
Sample_66,True,True,True,True,True,True,True,True,True,True
Sample_67,True,True,True,True,True,False,True,True,True,True
Sample_68,False,False,False,False,False,False,False,False,False,False
Sample_69,True,True,True,True,True,True,True,True,True,True
Sample_70,False,False,False,True,True,True,True,True,True,True
Sample_71,False,False,False,True,True,True,True,True,True,True
Sample_72,False,False,False,False,False,False,False,False,False,False
Sample_73,True,False,False,True,False,False,False,True,False,False
Sample_74,True,True,False,True,True,True,True,True,True,True
Sample_75,True,True,True,True,True,True,True,True,True,True
Sample_76,True,True,True,True,False,False,True,True,True,True
Sample_77,False,False,False,False,True,True,False,True,True,False
Sample_78,True,True,True,True,False,True,False,True,False,True
Sample_79,True,True,False,True,True,True,True,True,True,True
Sample_80,True,True,True,True,False,True,True,False,False,False
Sample_81,True,True,True,True,True,True,True,True,True,True
Sample_82,True,True,True,True,True,True,True,False,False,True
Sample_83,True,True,True,True,True,True,True,True,True,True
Sample_84,True,False,True,True,False,True,True,True,True,True
Sample_85,False,True,False,False,True,True,True,True,True,True
Sample_86,True,True,True,True,False,True,True,False,True,True
Sample_87,True,True,True,True,False,True,True,True,False,False
Sample_88,True,True,True,True,True,True,True,True,True,True
Sample_89,True,True,True,True,True,True,True,True,True,True
Sample_90,True,True,True,True,True,True,True,True,True,True
Sample_91,False,False,False,False,False,False,False,False,False,False
Sample_92,True,True,False,True,True,False,True,True,True,True
Sample_93,True,True,True,True,True,True,True,True,True,True
Sample_94,False,False,False,False,False,False,False,False,False,False
Sample_95,False,True,False,False,True,True,True,True,True,True
Sample_96,True,True,True,True,True,True,True,True,True,True
Sample_97,True,True,True,True,True,True,True,False,False,False
Sample_98,True,True,False,True,True,False,True,False,True,True
Sample_99,False,False,False,False,False,True,False,True,True,True
Sample_100,False,False,False,True,True,True,True,True,True,True
Sample_101,True,True,True,True,True,False,True,True,True,True
Sample_102,True,True,True,True,True,True,True,True,True,True
Sample_103,False,False,False,False,False,False,False,True,True,False
Sample_104,True,True,True,True,True,True,True,True,True,True
Sample_105,True,True,True,True,True,True,True,True,True,True
Sample_106,True,True,True,True,True,True,True,True,True,True
Sample_107,True,True,True,True,True,True,True,True,True,True
Sample_108,True,True,True,True,True,True,True,True,True,True
Sample_109,False,False,False,False,False,False,False,False,False,False
Sample_110,False,True,False,True,True,True,True,True,True,True
Sample_111,True,True,True,True,True,True,True,True,True,True
Sample_112,False,False,False,False,False,False,False,False,False,False
Sample_113,False,True,False,True,True,True,True,True,True,True
Sample_114,False,False,False,False,False,False,False,False,False,False
Sample_115,True,True,True,True,True,True,True,True,True,True
Sample_116,False,False,True,True,False,False,False,False,False,True
Sample_117,True,True,True,True,True,True,True,True,True,True
Sample_118,True,True,True,True,True,True,True,True,True,True
Sample_119,True,True,True,True,True,True,True,True,True,True
Sample_120,False,False,False,True,False,False,False,False,False,False
Sample_121,True,True,True,True,True,True,True,True,True,True
Sample_122,True,True,True,True,True,True,True,True,True,True
Sample_123,False,False,False,True,False,False,False,False,False,True
Sample_124,True,True,True,True,True,True,True,True,True,True
Sample_125,True,False,True,True,False,True,True,True,False,False
Sample_126,True,True,True,True,False,False,True,True,True,True
Sample_127,True,True,True,True,True,True,True,True,True,True
Sample_128,False,False,False,False,False,False,False,True,False,True
Sample_129,True,True,False,True,True,True,True,True,True,True
Sample_130,True,True,True,True,True,True,True,True,True,True
Sample_131,True,True,True,True,True,True,True,True,True,True
Sample_132,True,True,True,True,True,True,False,True,False,True
Sample_133,True,True,True,True,True,True,True,True,True,True
Sample_134,True,True,True,True,True,True,True,True,True,True
Sample_135,False,False,False,False,False,False,False,False,False,False
Sample_136,False,False,False,True,False,False,False,False,False,False
Sample_137,False,False,False,False,False,False,False,False,False,False
Sample_138,True,True,True,True,True,True,True,True,True,True
Sample_139,True,True,True,True,True,True,True,True,True,True
Sample_140,False,False,False,False,False,False,False,False,False,False
Sample_141,False,True,True,False,False,True,False,False,False,False
Sample_142,True,True,True,True,True,True,True,True,True,True
Sample_143,True,True,True,True,False,True,True,True,True,True
Sample_144,False,False,False,True,True,True,True,True,True,True
Sample_145,False,False,False,False,False,False,False,True,True,False
Sample_146,False,True,True,True,True,True,False,False,False,False
Sample_147,True,True,True,True,False,True,True,False,False,True
